question_id,domain,n_reached,n_leaves,n_stopped,ll,ll_leaves,top1_id,top1_label,top1_is_leaf,top1_share,no_leaf,hit_real,hit_placebo
-1003355,Biology,103,58,0,389.72152378,389.72152378,n00000040,Comparative Functional Organismal Biology,1,0.952156,0,,2
-1003299,Biology,101,57,0,380.88159043,380.88159043,n00000027,Emergency and Acute Clinical Diagnostics,1,0.638752,0,,
-1003255,Biology,151,84,0,380.43908649,380.43908649,n00000040,Comparative Functional Organismal Biology,1,0.776611,0,,2
-1003254,Biology,146,81,0,379.98838995,379.98838995,n00000027,Emergency and Acute Clinical Diagnostics,1,0.597714,0,,
-1003142,Biology,132,74,0,385.43498244,385.43498244,n00000040,Comparative Functional Organismal Biology,1,0.897189,0,,2
-1003140,Biology,114,64,0,389.16349034,389.16349034,n00000126,Genetic and Chromosomal Sex Determination Mechanisms,1,0.941894,0,,
-1003078,Biology,151,84,0,376.86168416,376.86168416,n00000195,Cellular and Systemic Physiological Regulation Mechanisms,1,0.903592,0,,
-1003075,Biology,108,61,0,381.71501329,381.71501329,n00000040,Comparative Functional Organismal Biology,1,0.989450,0,,2
-1003074,Biology,109,61,0,376.72344410,376.72344410,n00000195,Cellular and Systemic Physiological Regulation Mechanisms,1,0.667543,0,,
-1003032,Biology,144,80,0,382.78139098,382.78139098,n00000083,Metabolic Biochemistry and Nutrient Energetics,1,0.928811,0,,3
-1003030,Biology,58,32,1,381.28415520,381.28415520,n00000040,Comparative Functional Organismal Biology,1,0.999998,0,,2
-1003025,Biology,85,48,0,390.21446444,390.21446444,n00000027,Emergency and Acute Clinical Diagnostics,1,0.987073,0,,
-1002856,Biology,90,51,0,388.42027491,388.42027491,n00000142,Normative Ethical Theory Applications,1,0.896753,0,,
-1002855,Biology,122,68,0,378.91271977,378.91271977,n00000124,Molecular Biology and Genetic Engineering Mechanisms,1,0.741188,0,,
-1002793,Biology,93,52,0,375.77288602,375.77288602,n00000124,Molecular Biology and Genetic Engineering Mechanisms,1,0.995268,0,,
-1002791,Biology,127,71,0,391.16244053,391.16244053,n00000040,Comparative Functional Organismal Biology,1,0.999866,0,,2
-1002737,Biology,139,77,0,381.32294359,381.32294359,n00000195,Cellular and Systemic Physiological Regulation Mechanisms,1,0.996850,0,,
-1002731,Biology,129,72,0,378.37824225,378.37824225,n00000040,Comparative Functional Organismal Biology,1,0.906240,0,,2
-1002728,Biology,106,59,0,386.40617527,386.40617527,n00000194,Macronutrient Biochemistry and Physiological Functions,1,0.894426,0,,
2806,Biology,132,73,0,391.87511861,391.87511861,n00000125,Polygenic and Mendelian Inheritance Analysis,1,0.999969,0,,
2808,Biology,127,71,0,377.29211605,377.29211605,n00000104,Paleoanthropology and Human Evolutionary Timelines,1,0.939556,0,,
2811,Biology,104,58,0,386.76523994,386.76523994,n00000194,Macronutrient Biochemistry and Physiological Functions,1,0.958112,0,,
