question_id,domain,ll_T,ll_B,ll_P,dB,dP,dBP,top1_T,top1_B,top1_P,affected_B,affected_P
-1011469,Engineering,382.94513544,382.94516408,383.19736601,2.8639999982260633e-05,0.2522305699999947,-0.25220193000001245,n00000304,n00000304,n00000304,1,1
-1011467,Engineering,399.24444711,399.24829018,399.24450776,0.0038430700000162688,6.064999996624465e-05,0.003782420000050024,n00000037,n00000037,n00000037,1,1
-1011433,Engineering,388.17172831,388.17172831,388.17172831,0.0,0.0,0.0,n00000193,n00000193,n00000193,0,0
-1011160,Engineering,411.80112702,411.80112702,411.80112702,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0
-1011107,Engineering,392.24780113,392.24780113,392.24780113,0.0,0.0,0.0,n00000155,n00000155,n00000155,0,0
-1011105,Engineering,387.64246312,387.64246102,387.97031283,-2.1000000174353772e-06,0.3278497100000095,-0.32785181000002694,n00000172,n00000172,n00000172,1,1
-1011103,Engineering,400.24652828,400.24652838,400.23284092,9.999996564147295e-08,-0.01368736000000581,0.013687459999971452,n00000064,n00000064,n00000064,1,1
-1011098,Engineering,408.29988673,408.29988673,408.29988673,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0
-1011094,Engineering,385.48172528,385.47492353,385.48172112,-0.006801749999965523,-4.16000000313943e-06,-0.0067975899999623834,n00000170,n00000170,n00000170,1,1
-1011091,Engineering,406.81774163,406.81774163,406.81774163,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0
-1011090,Engineering,411.65749776,411.65749776,411.65749776,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0
-1011079,Engineering,396.07246675,396.0780579,396.14110631,0.0055911499999865555,0.06863956000000826,-0.0630484100000217,n00000037,n00000037,n00000037,1,1
-1011077,Engineering,421.70306015,421.70306054,421.70306015,3.9000002516331733e-07,0.0,3.9000002516331733e-07,n00000037,n00000037,n00000037,1,0
-1011075,Engineering,390.64815544,390.55891084,390.64815544,-0.08924459999997225,0.0,-0.08924459999997225,n00000191,n00000191,n00000191,1,0
-1010984,Philosophy,381.30140053,380.71574039,381.30140052,-0.5856601400000159,-1.0000007932831068e-08,-0.5856601300000079,n00000105,n00000107,n00000105,1,1
-1010911,Philosophy,387.38451512,387.36726275,387.38451512,-0.017252369999994244,0.0,-0.017252369999994244,n00000142,n00000142,n00000142,1,0
-1010786,Philosophy,392.74236319,392.74195069,392.74236319,-0.00041249999998171916,0.0,-0.00041249999998171916,n00000142,n00000142,n00000142,1,0
-1010765,Philosophy,395.92853082,394.11405555,395.92853082,-1.8144752700000026,0.0,-1.8144752700000026,n00000143,n00000143,n00000143,1,0
-1010735,Philosophy,387.04446135,387.044462,387.04446135,6.500000040432496e-07,0.0,6.500000040432496e-07,n00000128,n00000128,n00000128,1,0
-1010608,Philosophy,385.76497535,385.76496404,385.76497535,-1.1309999990771757e-05,0.0,-1.1309999990771757e-05,n00000128,n00000128,n00000128,1,0
-1010008,Physics,378.83684791,378.83684871,378.83558238,8.000000093488779e-07,-0.0012655300000119496,0.0012663300000212985,n00000173,n00000173,n00000173,1,1
-1009967,Physics,404.44494766,404.44494766,404.41010526,0.0,-0.03484240000000227,0.03484240000000227,n00000064,n00000064,n00000064,0,1
-1009638,Physics,376.38698994,376.42353093,376.38738879,0.03654099000004862,0.00039885000001049775,0.036142140000038125,n00000189,n00000189,n00000189,1,1
-1009621,Physics,381.99490744,381.99490744,381.99487945,0.0,-2.7990000035060802e-05,2.7990000035060802e-05,n00000304,n00000304,n00000304,0,1
-1009591,Physics,387.6613748,387.78925086,388.20033917,0.1278760600000055,0.5389643700000306,-0.4110883100000251,n00000192,n00000192,n00000192,1,1
-1009485,Physics,404.86999083,404.86999086,404.86976806,2.999996695507434e-08,-0.00022276999999348845,0.00022279999996044353,n00000066,n00000066,n00000066,1,1
-1009447,Physics,389.019141,389.019141,389.01909588,0.0,-4.5119999981579895e-05,4.5119999981579895e-05,n00000172,n00000172,n00000172,0,1
-1009162,Physics,405.45301613,405.45301613,405.44970341,0.0,-0.003312719999996716,0.003312719999996716,n00000066,n00000066,n00000066,0,1
-1009101,Physics,392.16064958,392.16064958,392.16064958,0.0,0.0,0.0,n00000192,n00000192,n00000192,0,0
