round,scope,scope_label,comparisons,ranking,scores
0,AGGREGATE,MAIN,0.0,,
0,n00000001,MMLU_PRO,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000011,Math,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000019,Advanced Mathematical Problem Solving Techniques,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000060,Algebraic Structures and Computational Problem Solving,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000154,Finite Group and Ring Theory Properties,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000155,Applied Algebraic and Analytic Computations,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000059,Applied Mathematical Analysis and Modeling,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000156,Advanced Applied Mathematical Transformations and Integrations,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000239,Advanced Integral Calculus and Applications,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000238,Advanced Transform and Series Analysis,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000157,Applied Differential Equations and Numerical Methods,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000018,Applied Discrete and Probabilistic Quantitative Reasoning,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000062,Discrete Probability and Combinatorial Structures,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000158,Discrete Probability and Combinatorial Counting,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000159,Extremal and Enumerative Combinatorics in Graphs and Numbers,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000061,Applied Quantitative Reasoning and Distribution Analysis,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000161,Normal and Sampling Distribution Applications,0.0,claude-3-5-sonnet-20241022>gpt-4o-2024-08-06>deepseek-chat-v2_5>claude-3-5-haiku-20241022>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>Llama-2-70b-hf>Llama-2-13b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
