Condition,QueryId,QueryText,Category,NodeId,ModelA,ModelB,AnswerA,AnswerB,CorrectA,CorrectB,GroundTruth,Winner,Confidence,ConfidenceFirstOrder,ConfidenceSecondOrder,WinAFirst,WinASecond,PositionFlip,TieSource,Rationale
MAIN,106,"The Five Star Hotel put down $3,000 worth of carpeting. The carpeting is made to last for five years. The hotel's accountant wishes to use the declining-balance method. What is the depreciation for the second year?",business,n00000151,gemini-3.1-pro_5-shots,iask_pro,H,H,true,true,H,TIE,0.5,0.95,0.75,0.5,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted TIE (conf 0.95). Trial 2 voted Model A (conf 0.75).
MAIN,204,"Carl the clothier owns a large garment factory on an isolated island. Carl's factory is the only source of employment for most of the islanders, and thus Carl acts as a monopsonist. The supply curve for garment workers is given by l = 80w, where l is the number of workers hired and w is their hourly wage. Assume also that Carl's labor demand (marginal revenue product) curve is given by l = 400 - 40MRP_l. How many workers will Carl hire to maximize his profits?",business,n00000233,arx_0314,gemini-3.1-pro_5-shots,G,G,true,true,G,TIE,0.95,0.95,0.95,0.5,0.5,false,JUDGE_EMITTED,Consistent tie verdict
MAIN,104,"The tax rate in the town of Centerville is 11(1 / 2)%. If a tax of $1,794 was paid on a piece of property and the assessment rate in Centerville is 30%, what is the expected market value of the property?",business,n00000232,arx_0314,gemini-3.1-pro_5-shots,I,I,true,true,I,TIE,0.5,0.8,0.8,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.8). Trial 2 voted Model A (conf 0.8).
MAIN,232,"ACEPLUS SALES COMPANY wants to pay its employees a bonus as an incentive. It is decided that 70% of the labor-cost savings for the quarter will be distributed to the employees. The employer will retain 30%. The quarterly sales information is: Total Sales Total Labor cost $100,000. $32,000. The standard total cost of labor is 40% of the adjusted sales price. (i) What is the total amount to be paid to the employees as an incentive? (ii) What percentage of wages earned in the quarter will the workers receive as bonus? (The bonus will be paid as a set percentage of the employee's earnings).",business,n00000233,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,E,E,true,true,E,TIE,0.5,0.75,0.95,0.0,0.5,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.75). Trial 2 voted TIE (conf 0.95).
MAIN,122,"The average salary of the Bedford Manufacturing Co. rose 60% during a 10-year period. This rise amounted to $42.50 a week. (a) Find the average weekly salary at the beginning of the 10-year period, and (b) at the end of the 10-year period.",business,n00000232,gemini-3.1-pro_5-shots,iask_pro,F,F,true,true,F,TIE,0.5,0.85,0.95,0.0,0.5,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.85). Trial 2 voted TIE (conf 0.95).
MAIN,111,"Given the above statement, find what would happen to the free amount if the reserve for contingencies to were to increase by $10,000.Retained Earnings: Reserved for contingencies $25,000 Reserved for plant expansion $20,000 Total reserves $45,000 Free retained earnings $50,000 Total retained earnings $95,000",business,n00000151,deepseek-chat-v2_5,gemini-3.1-pro_5-shots,A,A,true,true,A,Model A,0.8,0.8,0.8,1.0,1.0,false,,"The decisive difference lies in mechanistic depth and transparency. Model A provides a more granular, step-by-step breakdown of the calculations, which enhances clarity and reduces the risk of oversight in more complex scenarios. Model B is correct but assumes the reader can infer intermediate steps, which may not always be safe. Both models are factually accurate, but Model A's explicitness aligns better with the rubric's emphasis on reasoning chain soundness and edge-case handling."
MAIN,152,"An invoice dated March 2 in the amount of $416.50, less 15% and 2(1/2) % with terms of 2% 10-EOM, was paid on April 10. What was the amount remitted in payment?",business,n00000232,deepseek-chat-v2_5,gemini-3.1-pro_5-shots,E,E,true,true,E,TIE,0.5,0.85,0.8,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.85). Trial 2 voted Model A (conf 0.8).
MAIN,98,"Mr. Frankel wants to borrow $2,000 from November 16 for 143 days. The interest rate is 6%. What would the difference in the interest charge amount to if the bank used exact interest instead of bankers' interest?",business,n00000151,arx_0314,gemini-3.1-pro_5-shots,H,H,true,true,H,TIE,0.5,0.8,0.75,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.8). Trial 2 voted Model A (conf 0.75).
MAIN,107,"Mr. Williams owns a piece of property assessed at $7,800 in a city which has a tax rate of $2.80 per $100. How much in property taxes does he pay?",business,n00000232,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,A,A,true,true,A,TIE,0.5,0.85,0.8,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.85). Trial 2 voted Model A (conf 0.8).
MAIN,246,"Costs for producing one widget: Materials:2 parts (a) $25.00 per part Expenses :$10.00 Labor :20 operations (a) $5.00 per operation Based on the above information, which is the only valid conclusion? (A) The selling price should be $160 per widget. (B) labor rates are excessive (C) output is labor intensive (D) material costs are low",business,n00000233,gemini-3.1-pro_5-shots,iask_pro,C,C,true,true,C,Model B,0.825,0.85,0.8,0.0,0.0,false,,"The decisive difference is mechanistic depth and edge-case handling. Model A provides a more granular cost breakdown (e.g., labor as 62.5% of total cost) and explicitly tests boundary conditions (e.g., comparing material vs. expense fractions), while Model B focuses on brevity and filtering subjective options. Model A's additional detail strengthens its theoretical-practical alignment without introducing errors."
