Condition,QueryId,QueryText,Category,NodeId,ModelA,ModelB,AnswerA,AnswerB,CorrectA,CorrectB,GroundTruth,Winner,Confidence,ConfidenceFirstOrder,ConfidenceSecondOrder,WinAFirst,WinASecond,PositionFlip,TieSource,Rationale
MAIN,4712,What is believed to be the reason for the development of a complex society at Caral in South America?,history,n00000105,Meta-Llama-3_1-70B-Instruct,gemini-3.1-pro_5-shots,A,A,true,true,A,Model B,0.85,0.85,0.85,0.0,0.0,false,,"The decisive difference lies in mechanistic depth and methodological rigor. Model A explains *why* irrigation canals were critical (arid environment, agricultural needs, labor organization) and situates the answer within a broader archaeological context, while Model B merely states the conclusion without supporting reasoning or domain-specific justification. Model A's response adheres more closely to the rubric's requirements for cultural specificity, functional interpretation, and scalability of local findings."
MAIN,2423,"Discuss how the evolutionary heritage of man has shaped human behavior in terms of limits, potentialities, and the development of particular structures.",psychology,n00000104,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,C,C,true,true,C,Model B,0.8,0.8,0.8,0.0,0.0,false,,"The decisive difference is mechanistic depth and evidence integration. Model A provides a structured, if incomplete, framework for understanding evolutionary influences on behavior, while Model B offers only a bare-bones summary without analytical rigor. Model A’s inclusion of cultural influences and acknowledgment of limits/potentialities, despite its flaws, demonstrates a more robust engagement with the question’s complexity."
MAIN,4704,What was NOT a deciding factor in the development of Mesopotamian civilization?,history,n00000105,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,H,H,true,true,H,Model A,0.825,0.8,0.85,1.0,1.0,false,,"The decisive difference lies in mechanistic depth and scope accuracy. Model A focuses narrowly on irrigation and labor organization, providing a clear but limited explanation of the underlying mechanisms driving Mesopotamian development. Model B, while broader in scope, sacrifices depth for breadth and does not explain the causal pathways as rigorously. However, Model A's reasoning is more tightly aligned with primary evidence and archaeological axioms (e.g., riverine settlement patterns), whereas Model B's strength lies in its systematic elimination of options but without added explanatory power. Model A's response is more precise in its functional and symbolic interpretation of settlement patterns, a critical rubric criterion."
MAIN,974,"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",law,n00000107,arx_0314,gemini-3.1-pro_5-shots,H,G,false,true,G,Model B,0.95,0.95,0.98,0.0,0.0,false,,"The decisive difference in reasoning quality lies in Model A's **mechanistic depth** and **evidence-based analysis**, which directly engages with the ICJ's jurisprudence and doctrinal framework to evaluate the accumulation theory. Model B, by contrast, offers no substantive reasoning, evidence, or doctrinal engagement, rendering its conclusion unsupported and unreliable. Model A's response is not only correct but also demonstrates a nuanced understanding of the legal and geopolitical context, while Model B's is a vacuous assertion."
MAIN,4701,"Unlike most other early civilizations, Minoan culture shows little evidence of:",history,n00000105,arx_0314,gemini-3.1-pro_5-shots,B,B,false,false,D,Model B,0.8,0.8,0.8,0.0,0.0,false,,"The decisive difference lies in Model A's mechanistic depth and comparative analysis. Model A not only cites primary evidence (defensive walls, art) but also explains *why* these omissions matter (e.g., contrast with other civilizations, symbolic vs. functional interpretations). Model B, while accurate, is reductive—it states the conclusion without exploring the underlying cultural or methodological nuances that support it. Model A's response better satisfies the rubric's criteria for logical validity, cultural specificity, and hypothesis testing."
MAIN,4692,"This question refers to the following information.
The following quote is from Voltaire in response to the 1755 Lisbon earthquake.
My dear sir, nature is very cruel. One would find it hard to imagine how the laws of movement cause such frightful disasters in the best of possible worlds. A hundred thousand ants, our fellows, crushed all at once in our ant-hill, and half of them perishing, no doubt in unspeakable agony, beneath the wreckage from which they cannot be drawn. Families ruined all over Europe, the fortune of a hundred businessmen, your compatriots, swallowed up in the ruins of Lisbon. What a wretched gamble is the game of human life! What will the preachers say, especially if the palace of the Inquisition is still standing? I flatter myself that at least the reverend father inquisitors have been crushed like others. That ought to teach men not to persecute each other, for while a few holy scoundrels burn a few fanatics, the earth swallows up one and all.
—Voltaire, in a letter, 1755
Which of the following Enlightenment philosophes questioned reliance on reason and began the Romantic Movement for the rationale given?",history,n00000106,arx_0314,gemini-3.1-pro_5-shots,B,B,true,true,B,Model A,0.85,0.85,0.85,1.0,1.0,false,,"The decisive difference is **mechanistic depth and logical rigor**. Model A constructs a step-by-step argument that explains *why* Rousseau’s philosophy questioned reason and *how* it laid Romanticism’s foundations, while Model B offers a bare assertion with minimal analytical scaffolding. Model A’s reasoning aligns more closely with the rubric’s emphasis on **causal logic**, **normative/descriptive separation**, and **ideological framework identification**."
MAIN,4695,"This question refers to the following information.
""The Government of the German Reich and The Government of the Union of Soviet Socialist Republics desirous of strengthening the cause of peace between Germany and the U.S.S.R., and proceeding from the fundamental provisions of the Neutrality Agreement concluded in April, 1926 between Germany and the U.S.S.R., have reached the following Agreement:
Article I. Both High Contracting Parties obligate themselves to desist from any act of violence, any aggressive action, and any attack on each other, either individually or jointly with other Powers.
Article II. Should one of the High Contracting Parties become the object of belligerent action by a third Power, the other High Contracting Party shall in no manner lend its support to this third Power.
Article III. The Governments of the two High Contracting Parties shall in the future maintain continual contact with one another for the purpose of consultation in order to exchange information on problems affecting their common interests.
Article IV. Should disputes or conflicts arise between the High Contracting Parties shall participate in any grouping of Powers whatsoever that is directly or indirectly aimed at the other party.
Article V. Should disputes or conflicts arise between the High Contracting Parties over problems of one kind or another, both parties shall settle these disputes or conflicts exclusively through friendly exchange of opinion or, if necessary, through the establishment of arbitration commissions.""
Molotov-Ribbentrop Pact, 1939
The agreement described in the text is most similar to the",history,n00000107,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,I,D,false,false,J,Model A,0.875,0.85,0.9,1.0,1.0,false,,"The decisive difference lies in Model A's superior mechanistic depth and doctrinal alignment. While Model B correctly identifies the non-aggression aspect, it misapplies the level of analysis by prioritizing the Kellogg-Briand Pact's multilateral form over the Treaty of Tilsit's functional equivalence (bilateral realignment with territorial division). Model A's reasoning better captures the *primary causal mechanism* of the Molotov-Ribbentrop Pact: a sudden, secretive division of spheres of influence between two ideologically opposed powers, which the Treaty of Tilsit exemplifies. Model B's edge-case handling (evaluating all options) is thorough but ultimately undermined by its failure to isolate the most direct historical parallel."
MAIN,2808,"Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?",biology,n00000104,Meta-Llama-3_1-70B-Instruct,gemini-3.1-pro_5-shots,C,C,true,true,C,Model B,0.85,0.85,0.85,0.0,0.0,false,,"The decisive difference is **mechanistic depth and contextual rigor**. Model A not only names the correct figures but also explains their reasoning (e.g., Cuvier's catastrophism), contrasts them with evolutionary theorists, and integrates their contributions into a broader historical narrative. Model B, while accurate, is superficial and lacks the explanatory power to justify its claims or situate them within the history of scientific thought."
MAIN,2111,Briefly trace historical attitudes toward human development emphasizing the debate between biological determinism and environmental determinism.,psychology,n00000104,arx_0314,gemini-3.1-pro_5-shots,A,A,true,true,A,Model B,0.925,0.95,0.9,0.0,0.0,false,,"The decisive difference is **mechanistic depth and conceptual clarity**. Model A provides a reasoned historical narrative, contrasts competing hypotheses, and explains the shift toward interactionism, whereas Model B offers no reasoning, context, or synthesis. Model A’s response is **interdisciplinary and parsimonious**, while Model B’s is **reductive and uninformative**."
MAIN,4694,"This question refers to the following information.
""His Majesty the Emperor of China agrees, that British subjects, with their families and establishments, shall be allowed to reside, for the purposes of carrying on their mercantile pursuits, without molestation or restraint, at the cities and towns of Canton, Amoy, Foochowfoo, Ningpo, and Shanghai; and Her Majesty the Queen of Great Britain, &c., will appoint Superintendents, or Consular officers, to reside at each of the above-named cities or towns, to be the medium of communication between the Chinese authorities and the said merchants, and to see that the just duties and other dues of the Chinese Government, as hereafter provided for, are duly discharged by Her Britannic Majesty's subjects.""
Treaty of Nanjing, 1839
The concessions offered in this treaty most directly created British",history,n00000106,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,I,I,true,true,I,Model B,0.85,0.85,0.85,0.0,0.0,false,,"The decisive difference lies in **mechanistic depth** and **historical precision**. Model A provides a more granular breakdown of the treaty's provisions (e.g., consular roles, tariffs) and their operationalization, while Model B offers a superficial, pattern-based answer. Model A also avoids **anachronism** by correctly dating the treaty and **scopes uncertainty** (e.g., distinguishing spheres of influence from formal colonization), whereas Model B conflates the Treaty of Nanjing with later developments without justification."
MAIN,4736,The fact that early excavators of Teotihuacán mistook ordinary housing compounds for palaces suggests:,history,n00000105,Qwen1.5-72B-Chat,gemini-3.1-pro_5-shots,J,D,false,true,D,Model A,0.825,0.85,0.8,1.0,1.0,false,,"The decisive difference lies in the adherence to primary evidence and methodological rigor. Model A correctly restricts its conclusion to the immediate implication of the misidentification (excavator inexperience), while Model B overreaches by inferring societal conditions not directly supported by the given information. Model A avoids logical fallacies and cultural overinterpretation, whereas Model B violates multiple rubric criteria by extrapolating beyond the evidence and ignoring alternative explanations."
MAIN,4674,Recent discoveries of Homo naledi fossils in the Dinaledi Chamber of the Rising Star cave system in South Africa suggest a mixture of post-cranial morphologies or mosaic of hominid traits. One of the reasons this new species is controversial is that:,history,n00000104,Qwen1.5-72B-Chat,gemini-3.1-pro_5-shots,B,G,false,true,G,Model B,0.875,0.9,0.85,0.0,0.0,false,,"The decisive difference is **causal inference** and **chronological accuracy**. Model A correctly identifies the *initial* controversy as dating uncertainty, a mechanistic and historically accurate explanation, while Model B misattributes the controversy to trait mosaicism, which became a secondary debate only after dating was resolved. Model A’s reasoning aligns with the actual sequence of scientific discourse and methodological constraints, whereas Model B’s response reflects a post-hoc interpretation unsupported by the discovery’s timeline."
MAIN,4727,"This question refers to the following information.
While some theorists in the Middle Ages argued that the jihad was a defensive war… most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.
Robert Irwin, ""Islam and the Crusades,"" 1995
It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.
Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185
The first passage tends to support which of the following traditional historical assumptions?",history,n00000106,Qwen1.5-72B-Chat,gemini-3.1-pro_5-shots,G,G,true,true,G,Model B,0.825,0.8,0.85,0.0,0.0,false,,"The decisive difference lies in **Mechanistic Depth** and **Scope Accuracy**. Model A provides a structured analysis of the ideological framework, historical context, and normative implications, while Model B offers a minimalist, descriptive summary without critical engagement. Model A's reasoning is more robust, addressing multiple rubric criteria explicitly, whereas Model B's response is perfunctory and lacks analytical rigor."
MAIN,4729,"This question refers to the following information.
""Purusa-Sukta""
Purusa is the lord of the immortals, who grow by means of [ritual] food. When the gods performed a sacrifice with the offering Purusa, spring was its clarified butter, summer the kindling, autumn the oblation.
It was Purusa, born in the beginning, which they sprinkled on the sacred grass as a sacrifice. It made the beasts of the air, the forest and the village. From that sacrifice completely offered, the mantras [Rig Veda] and the songs [Samaveda] were born. The sacrificial formulae [Yajurveda] were born from it. From it the horses were born and all that have cutting teeth in both jaws. The cows were born from it, also. From it were born goats and sheep.
When they divided Purusa, how many ways did they apportion him? What was his mouth? What were his arms? What were his thighs, his feet declared to be? His mouth was the Brahman, his arms were the Rajanaya [Ksatriya], his thighs the Vaisya; from his feet the Sudra was born. Thus, they fashioned the worlds. The gods sacrificed with the sacrifice to the sacrifice. These were the first rites.
—Hymns excerpted and adapted from the Rig Veda, oldest surviving literary work, India, 1500–1000 BCE
Which of the following would best contradict the argument that the caste system imposed rigid economic and social roles on Indian society in the period 600 BCE to 600 CE?",history,n00000106,Meta-Llama-3_1-8B,gemini-3.1-pro_5-shots,D,G,false,true,G,Model B,0.8999999999999999,0.95,0.85,0.0,0.0,false,,"The decisive difference lies in **Logical Consistency** and **Correctness of Final Answer**. Model A, despite minor gaps in historical contextualization, correctly identifies a counterexample to rigidity and justifies its choice. Model B, in contrast, selects an option that aligns with the *opposite* of what the question demands, demonstrating a critical failure in understanding the question's core requirement."
MAIN,4717,"This question refers to the following information.
Clearly, no longer can a dictator count on East–West confrontation to stymie concerted United Nations action against aggression. A new partnership of nations has begun. And we stand today at a unique and extraordinary moment. The crisis in the Persian Gulf, as grave as it is, also offers a rare opportunity to move toward an historic period of cooperation. Out of these troubled times, our fifth objective—a new world order—can emerge; a new era, freer from the threat of terror, stronger in the pursuit of justice, and more secure in the quest for peace. An era in which the nations of the world, east and west, north and south, can prosper and live in harmony.
—President George Herbert Walker Bush, Speech to a Joint Session of Congress, September 11, 1990
President Bush's ""new world order"" most directly resembles which of the following?",history,n00000107,Qwen1.5-72B-Chat,gemini-3.1-pro_5-shots,A,A,true,true,A,Model B,0.825,0.85,0.8,0.0,0.0,false,,"The **decisive difference** is **mechanistic depth and doctrinal nuance**. Model A explicitly contrasts Wilsonian liberalism with realist doctrines (Truman/Monroe), demonstrating a clearer **ideological framework** and **logical consistency**. Model B’s response is correct but reductive, treating the comparison as a generic 'cooperation' theme without addressing the *how* (e.g., UN’s role) or *why* (post-Cold War unipolarity) of Bush’s vision. Model A’s errors (e.g., temporal gaps) are less critical than Model B’s omission of operational and causal analysis."
MAIN,4699,"This question refers to the following information.
""At least one of the [world's] societies would have to somehow enormously increase its productivity [in order to achieve global hegemony]. That quantum jump would have to be made before the various scientific, technological, agricultural, and industrial revolutions on which our post-quantum-leap world rests. It could only be accomplished by exploiting the ecosystems, mineral resources, and human assets of whole continents outside the lands of the society making the jump. Western Europe did just that by means of its brutality and guns and, more important, by geographical and ecological luck.""
Copyright © 2015 Cambridge University Press.
Alfred Crosby, historian, Ecological Imperialism, 2004
Based on your knowledge of world history, which of the following contributed LEAST to Western European global hegemony between 1450 and 1750 C.E.?",history,n00000107,Meta-Llama-3_1-70B-Instruct,gemini-3.1-pro_5-shots,G,G,true,true,G,Model B,0.825,0.85,0.8,0.0,0.0,false,,"The decisive difference lies in **mechanistic depth** and **contextual grounding**. Model A explicitly enumerates *multiple* contributing factors to hegemony and contrasts them with steam power’s irrelevance, while Model B reduces its answer to a single temporal fact. Model A’s broader engagement with the period’s dynamics—even if not perfectly aligned with Crosby’s ecological lens—demonstrates superior **logical consistency** and **scope accuracy**. Model B’s brevity sacrifices explanatory power for correctness, making it less robust."
