iter,type,site_id,site_label,dJ,SE_dJ,z,dV,decision,reason,n_site
1,GROW,n00000011,Math,0.006835688,0.000329413,20.7511,3,ACCEPTED,,0
1,GROW,n00000012,Physics,0.006141383,0.000344822,17.8103,3,ACCEPTED,,0
1,GROW,n00000010,Economics,0.000705347,0.000236630,2.9808,3,ACCEPTED,,0
1,GROW,n00000008,Other,0.004048281,0.000176647,22.9173,2,ACCEPTED,,0
1,GROW,n00000009,Health,0.003295954,0.000219928,14.9865,3,ACCEPTED,,0
1,GROW,n00000006,Chemistry,0.000134817,0.000462852,0.2913,4,ACCEPTED,,0
1,GROW,n00000007,History,0.003467243,0.000176872,19.6032,3,ACCEPTED,,0
1,GROW,n00000004,Psychology,0.002364680,0.000244173,9.6844,2,ACCEPTED,,0
1,GROW,n00000015,Engineering,0.004787035,0.000232437,20.5950,2,ACCEPTED,,0
1,GROW,n00000005,Biology,0.007713382,0.000277886,27.7573,3,ACCEPTED,,0
1,GROW,n00000002,Business,-0.000272974,0.000386308,-0.7066,3,REJECTED,j_regression,0
1,GROW,n00000013,Computer science,0.002449401,0.000191827,12.7688,2,ACCEPTED,,0
1,GROW,n00000003,Law,0.006938290,0.000578790,11.9876,4,ACCEPTED,,0
-1,GROW,n00000014,Philosophy,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.02094,bar=0.02500,k=3)",428
2,GROW,n00000020,Emergent Concept #5,0.001724033,0.000162062,10.6381,2,ACCEPTED,,0
2,GROW,n00000021,Emergent Concept #6,0.002352760,0.000175564,13.4011,2,ACCEPTED,,0
2,GROW,n00000019,Emergent Concept #4,0.000057043,0.000043394,1.3145,2,ACCEPTED,,0
2,GROW,n00000022,Emergent Concept #7,0.000813472,0.000138881,5.8573,2,ACCEPTED,,0
2,GROW,n00000023,Emergent Concept #8,0.001202136,0.000127134,9.4556,3,ACCEPTED,,0
2,GROW,n00000024,Emergent Concept #9,0.001742529,0.000200119,8.7075,4,ACCEPTED,,0
2,GROW,n00000026,Emergent Concept #11,0.000071499,0.000056294,1.2701,2,ACCEPTED,,0
-1,GROW,n00000027,Emergent Concept #12,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.00914,bar=0.02500,k=3)",192
2,GROW,n00000025,Emergent Concept #10,-0.000281914,0.000129234,-2.1814,3,REJECTED,j_regression,0
-1,GROW,n00000028,Emergent Concept #13,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.01961,bar=0.02500,k=2)",291
-1,GROW,n00000029,Emergent Concept #14,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=1,floor=30,k=2)",242
2,GROW,n00000031,Emergent Concept #16,0.000588639,0.000077437,7.6015,3,ACCEPTED,,0
2,GROW,n00000032,Emergent Concept #17,0.000516309,0.000066326,7.7844,2,ACCEPTED,,0
2,GROW,n00000030,Emergent Concept #15,0.000512186,0.000064789,7.9054,2,ACCEPTED,,0
-1,GROW,n00000033,Emergent Concept #18,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.00265,bar=0.02500,k=3)",287
-1,GROW,n00000034,Emergent Concept #19,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=28,floor=30,k=2)",260
-1,GROW,n00000035,Emergent Concept #20,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=3)",216
2,GROW,n00000036,Emergent Concept #21,-0.000063727,0.000086316,-0.7383,2,REJECTED,j_regression,0
-1,GROW,n00000037,Emergent Concept #22,,,,,NO_PROPOSAL,"min_pair_sep_below_bar(sep=0.01542,bar=0.02500,k=2)",135
2,GROW,n00000038,Emergent Concept #23,0.000517517,0.000042316,12.2297,2,ACCEPTED,,0
-1,GROW,n00000040,Emergent Concept #25,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",366
2,GROW,n00000041,Emergent Concept #26,0.000971523,0.000159226,6.1015,3,ACCEPTED,,0
2,GROW,n00000042,Emergent Concept #27,-0.000737598,0.000149998,-4.9174,2,REJECTED,j_regression,0
-1,GROW,n00000043,Emergent Concept #28,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",263
-1,GROW,n00000044,Emergent Concept #29,,,,,NO_PROPOSAL,"not_routing_sustainable(min_child=0,floor=30,k=2)",203
2,GROW,n00000045,Emergent Concept #30,0.000698130,0.000059624,11.7089,2,ACCEPTED,,0
