Condition,QueryId,QueryText,Category,NodeId,ModelA,ModelB,AnswerA,AnswerB,CorrectA,CorrectB,GroundTruth,Winner,Confidence,ConfidenceFirstOrder,ConfidenceSecondOrder,WinAFirst,WinASecond,PositionFlip,TieSource,Rationale
MAIN,866,"A woman was standing in the aisle of a subway car and put her purse on the seat next to her. A man approached the woman from behind and grabbed the purse off the seat. He then pushed the woman out of the way and ran out of the subway car while carrying the purse. The man was apprehended on the subway platform while in possession of the purse. In a jurisdiction that follows the common law with respect to criminal offenses, of what crime can the man properly be convicted?",law,n00000234,arx_0314,gemini-3.1-pro_5-shots,D,G,true,false,D,Model B,0.95,0.98,0.95,0.0,0.0,false,,"The decisive difference is Model A's rigorous application of common law principles to the facts, explicitly addressing the timing of force and its relevance to the elements of robbery and larceny. Model B, by contrast, provides no reasoning, leaving its conclusion unsupported and inconsistent with the rubric's requirements for mechanistic depth and edge-case handling."
MAIN,773,"After crossing through a red light, Tom Patrick's car struck another car, injuring five persons. Through a court action, he was required to pay them $27,000, $14,000, $6,000, $5,000 and $2,700, respectively. If Mr. Patrick has 50-and-100 bodily injury insurance, how much did his insurance company pay?",business,n00000235,arx_0314,gemini-3.1-pro_5-shots,J,J,true,true,J,TIE,0.5,0.95,0.75,0.5,0.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted TIE (conf 0.95). Trial 2 voted Model B (conf 0.75).
MAIN,1029,"Wilshire Street is a public thoroughfare, designated as a one-way street for northbound traffic. Wilshire and Figueroa Streets intersect at right angles. The intersection is controlled by traffic lights. A businessman was driving his car east on Figueroa Street and did not see the traffic light. He entered the intersection at a time when the light was red for eastbound traffic and green for northbound traffic. A woman, in violation of statute, was proceeding south on Wilshire Street, and she entered the intersection without looking for any cross traffic and struck the businessman's car. The businessman suffered damages in the amount of $5,000. The woman, on the other hand, suffered damages in the amount of $1,000. The businessman brought suit against the woman to recover his damages. The woman denied liability and filed a counterclaim against the businessman for her damages. Both drivers were negligent with 30 percent of the negligence attributable to the woman and 70 percent of the negligence attributable to the businessman. A statute in the jurisdiction provides: ""A failure to exercise ordinary care, which contributes to personal injury or property damage, shall not bar recovery of damages by the injured party, but damages shall be diminished in proportion to the amount of negligence attributable to the person injured. There shall be no set-off of damages between the respective parties. "" Which of the following is the appropriate judgment in the case?",law,n00000199,gemini-3.1-pro_5-shots,gpt-4o-2024-08-06,G,G,true,true,G,TIE,0.5,0.8,0.75,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.8). Trial 2 voted Model A (conf 0.75).
MAIN,878,"An uncle owns his property in fee simple. The uncle executes and delivers a deed to the property with the following granting clause:""To my nephew and my niece for the life of my nephew, then to my gardener. ""As a result of the grant, which of the following is the most accurate statement regarding the ownership rights of the property?",law,n00000201,arx_0314,gemini-3.1-pro_5-shots,D,H,false,true,H,TIE,0.5,0.85,0.85,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.85). Trial 2 voted Model A (conf 0.85).
MAIN,976,What is personal (ratione personae) immunity?,law,n00000199,arx_0314,gemini-3.1-pro_5-shots,E,E,true,true,E,Model B,0.925,0.95,0.9,0.0,0.0,false,,"The decisive difference in reasoning quality is mechanistic depth and doctrinal alignment. Model A not only provides the correct answer but also explains the underlying legal principles, distinguishes personal immunity from functional immunity, and clarifies the scope and duration of the immunity. Model B, by contrast, offers no reasoning or analysis, making its response superficial despite its factual correctness."
MAIN,914,"The owner of a large family estate decided to sell the property. The owner entered into a valid written brokerage agreement with a real estate broker. According to terms of the agreement, the broker promised to undertake best efforts to sell the estate for a purchase price of not less than $1,250,000. The contract also provided that the broker was to be paid a commission of 5 percent on the gross sale price following the consummation of the sale and transfer of title. The brokerage agreement was effective for a period of two months. One month later, the broker notified the owner that she had found a buyer who wanted to purchase the property for $1,500,000. That same day, the broker handed the owner a real estate sales contract, signed by the buyer, in which the buyer agreed to pay $1,500,000 for the purchase of the estate. The owner investigated the buyer and discovered he had sufficient funds to purchase the estate. However, the owner changed his mind and decided not to sell the property. He told the broker that he would not sign the agreement. In addition, the owner told the broker that he was canceling their brokerage agreement because he was withdrawing the estate from the market. The owner also refused to pay the broker any commission. If the broker now sues the owner for breach of contract, which of the following, if anything, is the broker's proper measure of recovery?",law,n00000200,arx_0314,gemini-3.1-pro_5-shots,F,F,true,true,F,Model B,0.925,0.95,0.9,0.0,0.0,false,,"The decisive difference in reasoning quality is Model A's provision of a detailed, doctrinally grounded explanation that justifies the conclusion, whereas Model B offers only a bare assertion. Model A's response satisfies all rubric criteria for logical rigor and domain soundness, while Model B fails to engage with the legal framework entirely, leaving its correctness unsupported by analysis."
MAIN,1032,"A state legislature enacts a statute prohibiting the sale of contraceptive devices to married persons. This state statute prohibits the use of contraceptive devices by married persons. A physician who practices in the state brings suit in federal court challenging the constitutionality of the state contraceptive statute. The physician attacks the validity of the statute on the grounds that it prevents him from giving professional advice concerning the use of contraceptives to three patients, all of whom are married, whose condition of health might be endangered by child bearing. The plaintiff is likely",law,n00000199,Meta-Llama-3_1-70B-Instruct,gemini-3.1-pro_5-shots,B,A,false,false,D,Model B,0.95,0.95,0.95,0.0,0.0,false,,"The decisive difference is Model A's rigorous application of standing doctrine, including correct identification of the 'injury in fact' requirement and the prohibition on third-party standing, contrasted with Model B's unsupported assertion of standing without doctrinal grounding. Model A's reliance on binding precedent and mechanistic depth far surpasses Model B's shallow, conclusory reasoning."
MAIN,947,"A state education agency, following all statutory requirements, obtained a parcel of land through eminent domain. The landowner accepted the award of fair market value and did not appeal. For the next 15 years, the agency held the property but did not implement an educational use for it. In year 16, the agency abandoned the intended education use and sold it at a properly advertised auction under state law. The original landowner appealed, arguing that the agency only took a fee simple determinable and when it ceased its intended educational use, superior fee simple title reverted back to the original owner. Will the appellate court likely rule that the landowner can assert rights to stop the attempted transfer?",law,n00000201,Qwen1.5-72B-Chat,gemini-3.1-pro_5-shots,C,G,false,true,G,Model B,0.875,0.9,0.85,0.0,0.0,false,,"The decisive difference lies in Model A's precise classification of the estate (fee simple absolute vs. defeasible fee) and its fact-specific application of eminent domain principles, whereas Model B provides a generic recitation of law without addressing the core legal issue of the estate's nature. Model A's reasoning is structurally sound and adheres to the rubric's requirements for mechanistic depth and avoidance of failure modes, while Model B's response is incomplete and fails to engage with the question's nuanced legal inquiry."
MAIN,881,"A teenage male was on trial on charges of illegally entering an owner's property and stealing a car. The witness can only confirm for the prosecution that a car was stolen, the model and type of car, and that it was missing from the property on a certain date. The defense asks witness ""isn't it possible that my client did not steal the car, that someone else did it, and that the police are lying about the charges against him? The prosecution objected to the question. Will the court likely sustain the objection?",law,n00000234,Meta-Llama-3_1-8B,gemini-3.1-pro_5-shots,C,C,true,true,C,Model B,0.9,0.9,0.9,0.0,0.0,false,,"The decisive difference is Model A's rigorous application of evidentiary rules to explain why the question is objectionable, whereas Model B offers a conclusory statement without legal reasoning. Model A's analysis is grounded in procedural law, while Model B's response is speculative and devoid of doctrinal support."
MAIN,1107,"A state trooper was convicted in federal court in 2008 of taking bribes. He was sentenced to probation. He had served as a state trooper since 1978, and in 1998, he became fully qualified for his pension upon retirement. In 2006, the trooper retired and immediately started receiving monthly state pension checks. In 2009, the governor of the state signed into law a statute, which provided in part:""Section 8. Any member of the state law enforcement staff. . . who is convicted of. . . briberyshall not be entitled to receive any retirement or other benefit or payment of any kind from the stateSuch conviction shall be considered a breach of the staff member's employment contractSection 12. The provisions of this Act shall be retroactive to December 31, 1975. Section 14. This Act shall take effect immediately. ""Following the enactment of the statute, the state trooper received a letter from the state which stated that pursuant to the statute, the state is immediately discontinuing pension benefit payments to you on account of your 2008 bribery conviction. ""The trooper contacted an attorney, who challenged the discontinuance of benefits on the grounds that the new law was unconstitutional. Assume that the state's highest court holds the statute constitutional. The trooper might still be able to eventually have his pension reinstated if",law,n00000198,Qwen1.5-72B-Chat,gemini-3.1-pro_5-shots,G,E,false,true,E,Model B,0.8500000000000001,0.9,0.8,0.0,0.0,false,,"The decisive difference is Model A's recognition of the federal conviction's jurisdictional significance and its application of the Supremacy Clause and presidential pardon power, which directly addresses the unique facts of the case. While Model B correctly identifies overturning the conviction as a valid path, it ignores the federal context entirely, which is a material gap. Model A's reasoning is more comprehensive and aligned with the constitutional framework governing federal-state conflicts, even if it overstates the exclusivity of the pardon option."
