round,scope,scope_label,comparisons,ranking,scores
33,AGGREGATE,MAIN,9235.0,iask_pro>gemini-3.1-pro_5-shots>gpt-4o-2024-08-06>arx_0314>deepseek-chat-v2_5>Qwen1.5-72B-Chat>Meta-Llama-3_1-70B-Instruct>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,2.4255;2.1480;1.7113;1.4657;0.9139;-0.1049;-0.1887;-0.8106;-1.3889;-1.5377;-2.0962;-2.5373
33,n00000001,MMLU_PRO,0.0,gemini-3.1-pro_5-shots>arx_0314>gpt-4o-2024-08-06>iask_pro>deepseek-chat-v2_5>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33,n00000011,Math,0.0,gemini-3.1-pro_5-shots>arx_0314>gpt-4o-2024-08-06>iask_pro>deepseek-chat-v2_5>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33,n00000019,Advanced Mathematical Problem Solving Techniques,0.0,gemini-3.1-pro_5-shots>arx_0314>gpt-4o-2024-08-06>iask_pro>deepseek-chat-v2_5>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33,n00000060,Algebraic Structures and Computational Problem Solving,0.0,gemini-3.1-pro_5-shots>arx_0314>gpt-4o-2024-08-06>iask_pro>deepseek-chat-v2_5>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33,n00000154,Finite Group and Ring Theory Properties,104.0,iask_pro>gemini-3.1-pro_5-shots>arx_0314>deepseek-chat-v2_5>gpt-4o-2024-08-06>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-70B-Instruct>Meta-Llama-3_1-8B>Llama-2-13b-hf>Yi-6b-Chat>Llama-2-7b-hf,1.1818;0.8301;0.4926;0.4310;0.4069;0.1488;-0.2212;-0.3431;-0.6039;-0.6814;-0.7740;-0.8676
33,n00000155,Applied Algebraic and Analytic Computations,103.0,iask_pro>arx_0314>gpt-4o-2024-08-06>gemini-3.1-pro_5-shots>deepseek-chat-v2_5>Qwen1.5-72B-Chat>Meta-Llama-3_1-70B-Instruct>c4ai-command-r-v01>Yi-6b-Chat>Meta-Llama-3_1-8B>Llama-2-7b-hf>Llama-2-13b-hf,1.2275;0.8235;0.6655;0.5288;0.2191;0.0038;-0.1200;-0.3160;-0.4720;-0.5980;-0.9226;-1.0396
33,n00000059,Applied Mathematical Analysis and Modeling,0.0,gemini-3.1-pro_5-shots>arx_0314>gpt-4o-2024-08-06>iask_pro>deepseek-chat-v2_5>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33,n00000156,Advanced Applied Mathematical Transformations and Integrations,0.0,gemini-3.1-pro_5-shots>arx_0314>gpt-4o-2024-08-06>iask_pro>deepseek-chat-v2_5>Meta-Llama-3_1-70B-Instruct>Qwen1.5-72B-Chat>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-13b-hf>Llama-2-7b-hf,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
33,n00000239,Advanced Integral Calculus and Applications,112.0,gemini-3.1-pro_5-shots>iask_pro>arx_0314>deepseek-chat-v2_5>Qwen1.5-72B-Chat>Meta-Llama-3_1-70B-Instruct>gpt-4o-2024-08-06>c4ai-command-r-v01>Meta-Llama-3_1-8B>Yi-6b-Chat>Llama-2-7b-hf>Llama-2-13b-hf,1.0806;0.8862;0.4578;0.4212;0.3243;0.1429;0.1034;-0.1403;-0.4343;-0.4377;-1.1744;-1.2296
