question_id,category,leaf_id,leaf_label,weight,n_leaves
552,"Business",n00000219,"Applied Business Percentage Calculations",0,000000,1
12029,"Engineering",n00000037,"Forced Convection Heat Transfer Analysis",0,000000,1
5901,"Other",n00000166,"Discriminative Statement Verification Tasks",0,000000,1
8934,"Math",n00000147,"Advanced Limit and Differential Equation Analysis",0,000000,1
4167,"Chemistry",n00000694,"Charged Particle Dynamics in Electromagnetic Fields",0,000000,1
5214,"Other",n00000076,"Security Dilemmas and State Sovereignty Frameworks",0,000000,1
2501,"Psychology",n00000237,"Behavioral and Cognitive Response Mechanisms",0,000000,1
3214,"Biology",n00000180,"Cellular Physiology and Systemic Integration",-0,560441,2
3214,"Biology",n00000181,"Molecular Biology of Macromolecules and Enzymes",-0,846199,2
8606,"Math",n00000147,"Advanced Limit and Differential Equation Analysis",0,000000,1
9024,"Math",n00000145,"Applied Linear Algebra and Multivariable Calculus",0,000000,1
8643,"Math",n00000145,"Applied Linear Algebra and Multivariable Calculus",0,000000,1
10319,"Physics",n00000155,"Gravitational Field and Orbital Mechanics Analysis",0,000000,1
10345,"Physics",n00000065,"Geometric Optics of Thin Lenses and Systems",0,000000,1
3568,"Chemistry",n00000157,"Quantum Photoelectric and Particle-Wave Duality Problems",0,000000,1
7546,"Economics",n00000190,"Monetary Policy Mechanisms and Money Supply Dynamics",0,000000,1
7417,"Economics",n00000523,"Fiscal Policy Multiplier Mechanisms",0,000000,1
5440,"Other",n00000524,"Macroeconomic Growth and Productivity Metrics",0,000000,1
6018,"Health",n00000079,"Demographic and Societal Indicators Analysis",-0,692913,2
6018,"Health",n00000166,"Discriminative Statement Verification Tasks",-0,693381,2
6224,"Health",n00000080,"Human Anatomy and Physiological Function",0,000000,1
9489,"Physics",n00000092,"Nuclear and Radioactive Decay Calculations",0,000000,1
4847,"History",n00000104,"Colonial Encounter Justifications and Consequences",0,000000,1
4908,"History",n00000033,"Archaeological and Evolutionary Anthropology",0,000000,1
2124,"Psychology",n00000105,"Cognitive Processes in Learning and Memory",-0,481082,2
2124,"Psychology",n00000172,"Psychometric Test Validity and Reliability Principles",-0,962634,2
6726,"Health",n00000080,"Human Anatomy and Physiological Function",-0,588821,2
6726,"Health",n00000169,"Pathophysiology and Disease Mechanism Fundamentals",-0,809639,2
11535,"Engineering",n00000037,"Forced Convection Heat Transfer Analysis",0,000000,1
11744,"Engineering",n00000037,"Forced Convection Heat Transfer Analysis",0,000000,1
10322,"Physics",n00000177,"Electrical Circuit Power and Energy Dynamics",0,000000,1
3177,"Biology",n00000180,"Cellular Physiology and Systemic Integration",0,000000,1
3049,"Biology",n00000182,"Population Genetics and Evolutionary Mechanisms",0,000000,1
8388,"Math",n00000219,"Applied Business Percentage Calculations",0,000000,1
5350,"Other",n00000426,"Business Financial Calculations and Insurance Mathematics",0,000000,1
10452,"Computer science",n00000238,"Machine Learning Model Properties and Tradeoffs",-0,476696,2
10452,"Computer science",n00000239,"Econometric Time Series Model Diagnostics",-0,969774,2
8369,"Math",n00000147,"Advanced Limit and Differential Equation Analysis",-0,515961,2
8369,"Math",n00000126,"Logical Statement Verification in Algebraic Structures",-0,908637,2
8935,"Math",n00000147,"Advanced Limit and Differential Equation Analysis",0,000000,1
8204,"Math",n00000146,"Applied Integral and Transform Methods",0,000000,1
10544,"Computer science",n00000145,"Applied Linear Algebra and Multivariable Calculus",-0,607337,2
10544,"Computer science",n00000295,"Elementary Arithmetic Operations and Applications",-0,787017,2
8824,"Math",n00000144,"Advanced Algebraic Function Analysis",0,000000,1
8108,"Math",n00000186,"Fundamental Statistical Inference Principles",-0,639087,2
8108,"Math",n00000149,"Normal Distribution Probability Applications",-0,750297,2
3020,"Biology",n00000148,"Discrete Probability Event Calculations",0,000000,1
8685,"Math",n00000224,"Applied Quantitative Problem Solving",0,000000,1
7823,"Math",n00000224,"Applied Quantitative Problem Solving",0,000000,1
8021,"Math",n00000224,"Applied Quantitative Problem Solving",0,000000,1
8468,"Math",n00000224,"Applied Quantitative Problem Solving",0,000000,1
8303,"Math",n00000151,"Advanced Combinatorial Partitioning and Counting",0,000000,1
7877,"Math",n00000152,"Applied Newtonian Mechanics and Work Calculations",0,000000,1
9994,"Physics",n00000092,"Nuclear and Radioactive Decay Calculations",0,000000,1
10277,"Physics",n00000065,"Geometric Optics of Thin Lenses and Systems",0,000000,1
10289,"Physics",n00000065,"Geometric Optics of Thin Lenses and Systems",0,000000,1
6866,"Economics",n00000523,"Fiscal Policy Multiplier Mechanisms",0,000000,1
7423,"Economics",n00000524,"Macroeconomic Growth and Productivity Metrics",0,000000,1
7065,"Economics",n00000239,"Econometric Time Series Model Diagnostics",0,000000,1
