split,model,domain,n_questions,n_correct,n_blank_pred,acc,acc_parsed,blank_rate
reserved,gemini-3.1-pro_5-shots,biology,196,190,0,0.9694,0.9694,0.0
reserved,gemini-3.1-pro_5-shots,business,232,220,0,0.9483,0.9483,0.0
reserved,gemini-3.1-pro_5-shots,chemistry,339,311,0,0.9174,0.9174,0.0
reserved,gemini-3.1-pro_5-shots,computer science,123,114,0,0.9268,0.9268,0.0
reserved,gemini-3.1-pro_5-shots,economics,250,235,0,0.94,0.94,0.0
reserved,gemini-3.1-pro_5-shots,engineering,266,233,1,0.8759,0.8792,0.0038
reserved,gemini-3.1-pro_5-shots,health,206,178,0,0.8641,0.8641,0.0
reserved,gemini-3.1-pro_5-shots,history,114,94,0,0.8246,0.8246,0.0
reserved,gemini-3.1-pro_5-shots,law,287,249,0,0.8676,0.8676,0.0
reserved,gemini-3.1-pro_5-shots,math,393,377,0,0.9593,0.9593,0.0
reserved,gemini-3.1-pro_5-shots,other,277,246,0,0.8881,0.8881,0.0
reserved,gemini-3.1-pro_5-shots,philosophy,144,130,0,0.9028,0.9028,0.0
reserved,gemini-3.1-pro_5-shots,physics,378,349,2,0.9233,0.9282,0.0053
reserved,gemini-3.1-pro_5-shots,psychology,238,216,0,0.9076,0.9076,0.0
reserved,gemini-3.1-pro_5-shots,ALL,3443,3142,3,0.9126,0.9134,0.0009
reserved,iask_pro,biology,193,176,0,0.9119,0.9119,0.0
reserved,iask_pro,business,229,195,4,0.8515,0.8667,0.0175
reserved,iask_pro,chemistry,333,282,3,0.8468,0.8545,0.009
reserved,iask_pro,computer science,123,106,0,0.8618,0.8618,0.0
reserved,iask_pro,economics,248,218,0,0.879,0.879,0.0
reserved,iask_pro,engineering,266,169,10,0.6353,0.6602,0.0376
reserved,iask_pro,health,206,159,5,0.7718,0.791,0.0243
reserved,iask_pro,history,112,81,0,0.7232,0.7232,0.0
reserved,iask_pro,law,285,197,0,0.6912,0.6912,0.0
reserved,iask_pro,math,391,358,2,0.9156,0.9203,0.0051
reserved,iask_pro,other,270,218,3,0.8074,0.8165,0.0111
reserved,iask_pro,philosophy,144,111,1,0.7708,0.7762,0.0069
reserved,iask_pro,physics,378,324,3,0.8571,0.864,0.0079
reserved,iask_pro,psychology,238,196,0,0.8235,0.8235,0.0
reserved,iask_pro,ALL,3416,2790,31,0.8167,0.8242,0.0091
reserved,arx_3,biology,196,180,0,0.9184,0.9184,0.0
reserved,arx_3,business,232,190,0,0.819,0.819,0.0
reserved,arx_3,chemistry,339,273,0,0.8053,0.8053,0.0
reserved,arx_3,computer science,123,102,0,0.8293,0.8293,0.0
reserved,arx_3,economics,250,219,0,0.876,0.876,0.0
reserved,arx_3,engineering,267,171,0,0.6404,0.6404,0.0
reserved,arx_3,health,206,158,0,0.767,0.767,0.0
reserved,arx_3,history,114,90,0,0.7895,0.7895,0.0
reserved,arx_3,law,287,182,0,0.6341,0.6341,0.0
reserved,arx_3,math,393,324,0,0.8244,0.8244,0.0
reserved,arx_3,other,277,222,0,0.8014,0.8014,0.0
reserved,arx_3,philosophy,144,113,0,0.7847,0.7847,0.0
reserved,arx_3,physics,379,303,0,0.7995,0.7995,0.0
reserved,arx_3,psychology,238,195,0,0.8193,0.8193,0.0
reserved,arx_3,ALL,3445,2722,0,0.7901,0.7901,0.0
reserved,claude-3-5-sonnet-20241022,biology,196,173,0,0.8827,0.8827,0.0
reserved,claude-3-5-sonnet-20241022,business,232,191,0,0.8233,0.8233,0.0
reserved,claude-3-5-sonnet-20241022,chemistry,339,259,0,0.764,0.764,0.0
reserved,claude-3-5-sonnet-20241022,computer science,123,104,0,0.8455,0.8455,0.0
reserved,claude-3-5-sonnet-20241022,economics,250,221,0,0.884,0.884,0.0
reserved,claude-3-5-sonnet-20241022,engineering,267,163,0,0.6105,0.6105,0.0
reserved,claude-3-5-sonnet-20241022,health,206,162,0,0.7864,0.7864,0.0
reserved,claude-3-5-sonnet-20241022,history,114,85,0,0.7456,0.7456,0.0
reserved,claude-3-5-sonnet-20241022,law,287,189,0,0.6585,0.6585,0.0
reserved,claude-3-5-sonnet-20241022,math,393,316,0,0.8041,0.8041,0.0
reserved,claude-3-5-sonnet-20241022,other,277,220,0,0.7942,0.7942,0.0
reserved,claude-3-5-sonnet-20241022,philosophy,144,115,0,0.7986,0.7986,0.0
reserved,claude-3-5-sonnet-20241022,physics,379,288,0,0.7599,0.7599,0.0
reserved,claude-3-5-sonnet-20241022,psychology,238,199,0,0.8361,0.8361,0.0
reserved,claude-3-5-sonnet-20241022,ALL,3445,2685,0,0.7794,0.7794,0.0
reserved,claude-3.5-sonnet,biology,196,176,0,0.898,0.898,0.0
reserved,claude-3.5-sonnet,business,232,189,0,0.8147,0.8147,0.0
reserved,claude-3.5-sonnet,chemistry,339,265,0,0.7817,0.7817,0.0
reserved,claude-3.5-sonnet,computer science,123,102,0,0.8293,0.8293,0.0
reserved,claude-3.5-sonnet,economics,250,216,0,0.864,0.864,0.0
reserved,claude-3.5-sonnet,engineering,266,161,0,0.6053,0.6053,0.0
reserved,claude-3.5-sonnet,health,206,150,0,0.7282,0.7282,0.0
reserved,claude-3.5-sonnet,history,114,88,0,0.7719,0.7719,0.0
