Condition,QueryId,QueryText,Category,NodeId,ModelA,ModelB,AnswerA,AnswerB,CorrectA,CorrectB,GroundTruth,Winner,Confidence,ConfidenceFirstOrder,ConfidenceSecondOrder,WinAFirst,WinASecond,PositionFlip,TieSource,Rationale
MAIN,104,"The tax rate in the town of Centerville is 11(1 / 2)%. If a tax of $1,794 was paid on a piece of property and the assessment rate in Centerville is 30%, what is the expected market value of the property?",business,n00000232,arx_0314,gemini-3.1-pro_5-shots,I,I,true,true,I,TIE,0.5,0.8,0.7,0.0,0.5,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.8). Trial 2 voted TIE (conf 0.7).
MAIN,2531,Complete the following example using deductive reasoning: All students who attend the Peddie School study Latin. Some students who study Latin also study calculus. Jerome is a student at the Peddie School. It can therefore be determined that,psychology,n00000159,arx_0314,gemini-3.1-pro_5-shots,B,B,true,true,B,Model B,0.95,0.95,0.95,0.0,0.0,false,,"The decisive difference in reasoning quality is the mechanistic depth and explicit logical justification provided by Model A, which Model B entirely omits. Model A's response not only arrives at the correct answer but also explains why other conclusions are invalid, whereas Model B offers no reasoning to support its answer."
MAIN,98,"Mr. Frankel wants to borrow $2,000 from November 16 for 143 days. The interest rate is 6%. What would the difference in the interest charge amount to if the bank used exact interest instead of bankers' interest?",business,n00000151,arx_0314,gemini-3.1-pro_5-shots,H,H,true,true,H,TIE,0.5,0.8,0.75,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.8). Trial 2 voted Model A (conf 0.75).
MAIN,78,"Where the price is set low relative to the competition to gain market share, this strategy is known as:",business,n00000077,arx_0314,gemini-3.1-pro_5-shots,E,E,true,true,E,Model A,0.8,0.8,0.8,1.0,1.0,false,,"The decisive difference is **mechanistic depth and scope accuracy**. Model A provides a concise, theoretically sound answer without extraneous or unverified claims. Model B's attempt to elaborate introduces noise and weakens the response by deviating from formal definitions and relying on informal explanations. Neither model handles edge cases, but Model A avoids the pitfalls of overgeneralization present in Model B."
MAIN,2654,"Quinn awoke from a dream, shaking and covered with sweat. When his wife asked him what had happened, he said he had dreamed he was falling to his death. Quinn's experience is often categorized as a",psychology,n00000027,arx_0314,gemini-3.1-pro_5-shots,H,H,true,true,H,Model A,0.85,0.85,0.85,1.0,1.0,false,,"The decisive difference is mechanistic depth and integration of clinical context. Model A provides a richer explanation of the sleep physiology (REM vs. non-REM), links symptoms to the diagnosis, and explicitly rules out night terrors with patient-specific data. Model B's response is correct but reductive, lacking the pathophysiological justification and scope accuracy that elevate Model A's reasoning."
MAIN,4701,"Unlike most other early civilizations, Minoan culture shows little evidence of:",history,n00000105,arx_0314,gemini-3.1-pro_5-shots,B,B,false,false,D,Model B,0.825,0.85,0.8,0.0,0.0,false,,"The decisive difference lies in mechanistic depth and comparative analysis. Model A provides a richer explanation by triangulating multiple lines of evidence (defensive architecture, art, trade, elite displays) and situating Minoan culture within a broader civilizational context. Model B, while correct, relies on a narrower evidentiary base and lacks the nuanced handling of alternative explanations or methodological considerations."
MAIN,3774,"On a hot day, the pressure in an automobile tire increases. Assuming that the air in a tire at 59°F increases in pressure from 28.0 lbs/in^2 to 30.0 lbs/in^2, (a)what is the temperature of the air in the tire, assuming no change in volume? (b) what will the pressure be if the temperature rises to 106°F?",chemistry,n00000037,arx_0314,gemini-3.1-pro_5-shots,B,B,true,true,B,TIE,0.5,0.8,0.8,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.8). Trial 2 voted Model A (conf 0.8).
MAIN,5514,Which of the following is the odd one out?,other,n00000130,arx_0314,gemini-3.1-pro_5-shots,C,D,false,true,D,TIE,0.5,0.85,0.85,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.85). Trial 2 voted Model A (conf 0.85).
MAIN,3555,"Assume all gases are perfect unless stated otherwise. Note that 1 atm = 1.013 25 bar. Unless otherwise stated, thermochemical data are for 298.15 K. Concerns over the harmful effects of chlorofluorocarbons on stratospheric ozone have motivated a search for new refrigerants. One such alternative is 2,2-dichloro-1,1,1-trifluoroethane (refrigerant 123). Younglove and McLinden published a compendium of thermophysical properties of this substance (J. Phys. Chem. Ref. Data 23, 7 (1994)), from which properties such as the Joule-Thomson coefficient $\mu$ can be computed. Compute $\mu$ at 1.00 bar and $50^{\circ} \mathrm{C}$ given that $(\partial H / \partial p)_T=-3.29 \times 10^3 \mathrm{~J} \mathrm{MPa}^{-1} \mathrm{~mol}^{-1}$ and $C_{p, \mathrm{~m}}=110.0 \mathrm{~J} \mathrm{~K}^{-1} \mathrm{~mol}^{-1}$.",chemistry,n00000030,arx_0314,gemini-3.1-pro_5-shots,C,C,true,true,C,TIE,0.5,0.85,0.8,0.0,1.0,true,POSITION_FLIP,POSITION_FLIP_TIE: Split verdict (position flip). Trial 1 voted Model B (conf 0.85). Trial 2 voted Model A (conf 0.8).
MAIN,866,"A woman was standing in the aisle of a subway car and put her purse on the seat next to her. A man approached the woman from behind and grabbed the purse off the seat. He then pushed the woman out of the way and ran out of the subway car while carrying the purse. The man was apprehended on the subway platform while in possession of the purse. In a jurisdiction that follows the common law with respect to criminal offenses, of what crime can the man properly be convicted?",law,n00000234,arx_0314,gemini-3.1-pro_5-shots,D,G,true,false,D,Model B,0.95,0.98,0.98,0.0,0.0,false,,"The decisive difference is Model A's rigorous application of common law principles to the facts, including a clear explanation of why the force occurred *after* the taking, which precludes a robbery conviction. Model B offers no analysis, merely asserting an incorrect conclusion without engaging with the legal standards or factual nuances. Model A's response is structurally sound and doctrinally precise, while Model B's is devoid of legal reasoning."
