question_id,category,leaf_id,leaf_label,weight,n_leaves
552,"Business",n00000002,"Business",0,000000,1
12029,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
5901,"Other",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
8934,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
4167,"Chemistry",n00000075,"Electromagnetic Wave and Quantum Particle Dynamics",0,000000,1
5214,"Other",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
2501,"Psychology",n00000038,"Behavioral Learning Principles and Mechanisms",0,000000,1
3214,"Biology",n00000005,"Biology",0,000000,1
8606,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
9024,"Math",n00000458,"Numerical and Analytical Differential Equation Solutions",0,000000,1
8643,"Math",n00000459,"Applied Mathematical Problem Solving Techniques",0,000000,1
10319,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
10345,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
3568,"Chemistry",n00000332,"Spectroscopic and Photoelectric Photon Energy Transitions",-0,435790,2
3568,"Chemistry",n00000128,"Subatomic Particle Energy and Decay Dynamics",-1,040590,2
7546,"Economics",n00000080,"Foundational Microeconomic Principles and Models",-0,322850,2
7546,"Economics",n00000083,"Monetary Policy and Market Structures",-1,287653,2
7417,"Economics",n00000081,"Macroeconomic Growth and Fluctuation Theory",0,000000,1
5440,"Other",n00000080,"Foundational Microeconomic Principles and Models",-0,297790,2
5440,"Other",n00000081,"Macroeconomic Growth and Fluctuation Theory",-1,356569,2
6018,"Health",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
6224,"Health",n00000009,"Health",0,000000,1
9489,"Physics",n00000313,"Real Gas Thermodynamic Calculations",0,000000,1
4847,"History",n00000035,"American Political Ideologies and Institutional Evolution",0,000000,1
4908,"History",n00000032,"Prehistoric and Ancient Human Civilizations",0,000000,1
2124,"Psychology",n00000036,"Psychological Assessment and Ethical Practices",0,000000,1
6726,"Health",n00000009,"Health",0,000000,1
11535,"Engineering",n00000090,"Forced Convection Heat Transfer Analysis",0,000000,1
11744,"Engineering",n00000092,"Thermodynamic Process and Work Analysis",0,000000,1
10322,"Physics",n00000091,"Electrical Power and Energy Systems Analysis",0,000000,1
3177,"Biology",n00000005,"Biology",0,000000,1
3049,"Biology",n00000005,"Biology",0,000000,1
8388,"Math",n00000002,"Business",0,000000,1
5350,"Other",n00000002,"Business",0,000000,1
10452,"Computer science",n00000057,"Machine Learning Theory and Model Evaluation",-0,351992,2
10452,"Computer science",n00000055,"Econometric Modeling and Statistical Inference",-1,214986,2
8369,"Math",n00000077,"Advanced Calculus and Number Theory Problems",-0,660396,2
8369,"Math",n00000056,"Logical Statement Verification in CS and Math",-0,727007,2
8935,"Math",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
8204,"Math",n00000410,"Advanced Calculus and Integral Transform Applications",0,000000,1
10544,"Computer science",n00000077,"Advanced Calculus and Number Theory Problems",0,000000,1
8824,"Math",n00000459,"Applied Mathematical Problem Solving Techniques",0,000000,1
8108,"Math",n00000076,"Foundational Quantitative Problem Solving",-0,654002,2
8108,"Math",n00000054,"Statistical Inference and Computational Methods",-0,733888,2
3020,"Biology",n00000078,"Discrete Probability and Combinatorial Counting",0,000000,1
8685,"Math",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
7823,"Math",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
8021,"Math",n00000076,"Foundational Quantitative Problem Solving",0,000000,1
8468,"Math",n00000076,"Foundational Quantitative Problem Solving",-0,396829,2
8468,"Math",n00000078,"Discrete Probability and Combinatorial Counting",-1,116111,2
8303,"Math",n00000078,"Discrete Probability and Combinatorial Counting",0,000000,1
7877,"Math",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
9994,"Physics",n00000349,"Nuclear Reaction Mass-Energy Calculations",0,000000,1
10277,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
10289,"Physics",n00000071,"Applied Newtonian Kinematics and Dynamics",0,000000,1
6866,"Economics",n00000080,"Foundational Microeconomic Principles and Models",0,000000,1
7423,"Economics",n00000081,"Macroeconomic Growth and Fluctuation Theory",0,000000,1
7065,"Economics",n00000055,"Econometric Modeling and Statistical Inference",0,000000,1
7671,"Economics",n00000083,"Monetary Policy and Market Structures",0,000000,1
7392,"Economics",n00000082,"Market Mechanisms and Price Dynamics",0,000000,1
7382,"Economics",n00000082,"Market Mechanisms and Price Dynamics",0,000000,1
7008,"Economics",n00000022,"Conceptual Exclusion and Security Dilemma Analysis",0,000000,1
5544,"Other",n00000023,"General Knowledge and Trivia Discrimination",0,000000,1
