round,scope,scope_label,comparisons,ranking,scores
0,AGGREGATE,MAIN,0.0,,
0,n00000001,MMLU_PRO,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000011,Math,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000019,Advanced Mathematical Problem Solving Techniques,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000060,Algebraic Structures and Computational Problem Solving,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000154,Finite Group and Ring Theory Properties,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000155,Applied Algebraic and Analytic Computations,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000059,Applied Mathematical Analysis and Modeling,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000156,Advanced Applied Mathematical Transformations and Integrations,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000239,Advanced Integral Calculus and Applications,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
0,n00000238,Advanced Transform and Series Analysis,0.0,gemini-3.1-pro_5-shots>iask_pro>arx_3>claude-3.5-sonnet>gpt-4o-2024-08-06>deepseek-chat-v2_5>gpt-4o-mini>claude-3-5-sonnet-20241022>Qwen1.5-72B-Chat>Meta-Llama-3-8B-Instruct>Qwen1.5-14B-Chat>Meta-Llama-3-8B,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
